Typical Values,per 100g,per 80g (1 medium apple),item name,per 40g portion,per 40g portion %RI,your RI*,per 80g portion,per 100g:,per 20g serving,(as consumed) per 100g,(as consumed) per 40g portion,per pack,per 80g (1 lemon),per 80g (1 lemon) %GDA,your GDA*,% adult RI per 100g,adult RI,per 80g (1 medium apple) %GDA,per 80g serving (1 large slice),%GDA,per 80g (1 medium pear),per 80g (1 medium pear) %GDA,per 80g serving (2 kiwi fruit),per 80g (1 medium apple) % GDA,per 30g portion,%RI,per 80g serving,per 1/6 pack,per 1/6 pack %GDA,per bag,per bag %RI,per 25g portion,per 25g portion %RI,per 40g portion ,per 50g portion,per 30g portion %RI,per 1/5 pack (82g)
Fat ,,,Morrisons Mango  240g,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,Morrisons Mango  240g,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,Morrisons Mango  240g,,,,,13.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,Morrisons Mango  240g,,,,,13.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,Morrisons Mango  240g,,,,,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,Morrisons Mango  240g,,,,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,Morrisons Mango  240g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,Morrisons Sharing Pineapple  300g,,,,,192kJ/45kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,Morrisons Sharing Pineapple  300g,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,Morrisons Sharing Pineapple  300g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,Morrisons Sharing Pineapple  300g,,,,,9.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,Morrisons Sharing Pineapple  300g,,,,,9.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,Morrisons Sharing Pineapple  300g,,,,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,Morrisons Sharing Pineapple  300g,,,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,Morrisons Sharing Pineapple  300g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approximately 3 portions,,,Morrisons Sharing Pineapple  300g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,2886kJ/700kcal,,Morrisons Pecans  200g,1155kJ/280kcal,14%,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,70.1g,,Morrisons Pecans  200g,28g,40%,70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates,5.7g,,Morrisons Pecans  200g,2.3g,11%,20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,5.8g,,Morrisons Pecans  200g,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,4.3g,,Morrisons Pecans  200g,1.7g,2%,90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,4.7g,,Morrisons Pecans  200g,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,9.2g,,Morrisons Pecans  200g,3.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,Trace,,Morrisons Pecans  200g,Trace,<1%,6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Pecans  200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 5 portions,,,Morrisons Pecans  200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,"Morrisons Prepared Melon, Pineapple & Mango  240g",,,,,189kJ/45kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,"Morrisons Prepared Melon, Pineapple & Mango  240g",,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,"Morrisons Prepared Melon, Pineapple & Mango  240g",,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,"Morrisons Prepared Melon, Pineapple & Mango  240g",,,,,9.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,"Morrisons Prepared Melon, Pineapple & Mango  240g",,,,,9.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,"Morrisons Prepared Melon, Pineapple & Mango  240g",,,,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,"Morrisons Prepared Melon, Pineapple & Mango  240g",,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,"Morrisons Prepared Melon, Pineapple & Mango  240g",,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 3 portions,,,"Morrisons Prepared Melon, Pineapple & Mango  240g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,158kJ/38kcal,,"Morrisons Kiwi, Melon & Strawberry 210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,0.3g,,"Morrisons Kiwi, Melon & Strawberry 210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates,nil,,"Morrisons Kiwi, Melon & Strawberry 210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,7.1g,,"Morrisons Kiwi, Melon & Strawberry 210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,7g,,"Morrisons Kiwi, Melon & Strawberry 210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,1.4g,,"Morrisons Kiwi, Melon & Strawberry 210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,0.8g,,"Morrisons Kiwi, Melon & Strawberry 210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,trace,,"Morrisons Kiwi, Melon & Strawberry 210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approx. 2 portions,,,"Morrisons Kiwi, Melon & Strawberry 210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,1418kJ/335kcal,,Morrisons Cranberries  80g,,,,,,284kJ/67kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,1.3g,,Morrisons Cranberries  80g,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,0.1g,,Morrisons Cranberries  80g,,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,
