Typical Values,per 100g,per 80g (1 medium apple),item name,per 40g portion,per 40g portion %RI,your RI*,per 80g portion,per 100g:,per 20g serving,(as consumed) per 100g,(as consumed) per 40g portion,per pack,per 80g (1 lemon),per 80g (1 lemon) %GDA,your GDA*,% adult RI per 100g,adult RI,per 80g (1 medium apple) %GDA,per 80g serving (1 large slice),%GDA,per 80g (1 medium pear),per 80g (1 medium pear) %GDA,per 80g serving (2 kiwi fruit),per 80g (1 medium apple) % GDA,per 30g portion,%RI,per 80g serving,per 1/6 pack,per 1/6 pack %GDA,per bag,per bag %RI,per 25g portion,per 25g portion %RI,per 40g portion ,per 50g portion,per 30g portion %RI,per 1/5 pack (82g)
Protein ,0.8g,,"Morrisons Apple, Banana, Grape & Strawberry  220g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,trace,,"Morrisons Apple, Banana, Grape & Strawberry  220g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,Morrisons Pineapple & Melon Fingers  240g,,,,,133kJ/32kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,Morrisons Pineapple & Melon Fingers  240g,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,Morrisons Pineapple & Melon Fingers  240g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,Morrisons Pineapple & Melon Fingers  240g,,,,,6.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,Morrisons Pineapple & Melon Fingers  240g,,,,,6.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,Morrisons Pineapple & Melon Fingers  240g,,,,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,Morrisons Pineapple & Melon Fingers  240g,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,Morrisons Pineapple & Melon Fingers  240g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 3 portions ,,,Morrisons Pineapple & Melon Fingers  240g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,1949kJ/467kcal,,Morrisons The Best Fruit Nut & Choc Mix 200g,780kJ/187kcal,9%,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,25.6g,,Morrisons The Best Fruit Nut & Choc Mix 200g,10.2g,15%,70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates,5.9g,,Morrisons The Best Fruit Nut & Choc Mix 200g,2.4g,12%,20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,47.7g,,Morrisons The Best Fruit Nut & Choc Mix 200g,19.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars,46g,,Morrisons The Best Fruit Nut & Choc Mix 200g,18.4g,20%,90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,7.5g,,Morrisons The Best Fruit Nut & Choc Mix 200g,3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,7.7g,,Morrisons The Best Fruit Nut & Choc Mix 200g,3.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,0.08g,,Morrisons The Best Fruit Nut & Choc Mix 200g,trace,1%,6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons The Best Fruit Nut & Choc Mix 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 5 portions,,,Morrisons The Best Fruit Nut & Choc Mix 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,2764kJ/669kcal,,Morrisons The Best Mixed Nuts 200g,1106kJ/268kcal,13%,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,60.8g,,Morrisons The Best Mixed Nuts 200g,24.3g,35%,70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,7.3g,,Morrisons The Best Mixed Nuts 200g,2.9g,15%,20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,9.5g,,Morrisons The Best Mixed Nuts 200g,3.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,3.7g,,Morrisons The Best Mixed Nuts 200g,1.5g,2%,90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,4.6g,,Morrisons The Best Mixed Nuts 200g,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,18.6g,,Morrisons The Best Mixed Nuts 200g,7.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,0.1g,,Morrisons The Best Mixed Nuts 200g,trace,<1%,6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons The Best Mixed Nuts 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approximately 5 portions,,,Morrisons The Best Mixed Nuts 200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,83kJ/20kcal,,Morrisons Unwaxed Lemons Bumper Pack 4 per pack,,,,,,,,,,66kJ/16kcal,0.8%,2000kcal,,,,,,,,,,,,,,,,,,,,,,
Protein ,1.0g,,Morrisons Unwaxed Lemons Bumper Pack 4 per pack,,,,,,,,,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates,3.2g,,Morrisons Unwaxed Lemons Bumper Pack 4 per pack,,,,,,,,,,2.6g,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,3.2g,,Morrisons Unwaxed Lemons Bumper Pack 4 per pack,,,,,,,,,,2.6g,2.9%,90g,,,,,,,,,,,,,,,,,,,,,,
Fat ,0.3g,,Morrisons Unwaxed Lemons Bumper Pack 4 per pack,,,,,,,,,,0.2g,0.3%,70g,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,0.1g,,Morrisons Unwaxed Lemons Bumper Pack 4 per pack,,,,,,,,,,trace,trace,20g,,,,,,,,,,,,,,,,,,,,,,
Fibre ,nil,,Morrisons Unwaxed Lemons Bumper Pack 4 per pack,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,
Sodium ,trace,,Morrisons Unwaxed Lemons Bumper Pack 4 per pack,,,,,,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,
Salt equivalent ,trace,,Morrisons Unwaxed Lemons Bumper Pack 4 per pack,,,,,,,,,,trace,trace,6g,,,,,,,,,,,,,,,,,,,,,,
*Recommended guideline daily amounts for adults (GDA),,,Morrisons Unwaxed Lemons Bumper Pack 4 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,"Morrisons Orange, Apple & Grape  132g",,,,,220kJ/52kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,"Morrisons Orange, Apple & Grape  132g",,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,"Morrisons Orange, Apple & Grape  132g",,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,"Morrisons Orange, Apple & Grape  132g",,,,,11g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,"Morrisons Orange, Apple & Grape  132g",,,,,11g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,"Morrisons Orange, Apple & Grape  132g",,,,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,"Morrisons Orange, Apple & Grape  132g",,,,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,"Morrisons Orange, Apple & Grape  132g",,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Kj,199,,Morrisons Pink Lady Apples 4 per pack,,,,,,,,,,,,,,8400,,,,,,,,,,,,,,,,,,,,
Energy kcal,47,,Morrisons Pink Lady Apples 4 per pack,,,,,,,,,,,,,2%,2000,,,,,,,,,,,,,,,,,,,,
Fat ,<0.5g,,Morrisons Pink Lady Apples 4 per pack,,,,,,,,,,,,,<1%,70g,,,,,,,,,,,,,,,,,,,,
of which saturates ,<0.1g,,Morrisons Pink Lady Apples 4 per pack,,,,,,,,,,,,,<1%,20g,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,12.0g,,Morrisons Pink Lady Apples 4 per pack,,,,,,,,,,,,,5%,260g,,,,,,,,,,,,,,,,,,,,
of which sugars ,12.0g,,Morrisons Pink Lady Apples 4 per pack,,,,,,,,,,,,,13%,90g,,,,,,,,,,,,,,,,,,,,
Fibre,1.8g,,Morrisons Pink Lady Apples 4 per pack,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,
Protein ,<0.5g,,Morrisons Pink Lady Apples 4 per pack,,,,,,,,,,,,,<1%,50g,,,,,,,,,,,,,,,,,,,,
Salt ,<0.01g,,Morrisons Pink Lady Apples 4 per pack,,,,,,,,,,,,,<1%,6g,,,,,,,,,,,,,,,,,,,,
RI = Reference Intakes of an average adult (8400kj/2000kcal),,,Morrisons Pink Lady Apples 4 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,226kJ/53kcal,180kJ/43kcal,Morrisons Braeburn Apples 6 per pack,,,,,,,,,,,,2000kcal,,,2.2%,,,,,,,,,,,,,,,,,,,
Protein ,0.4g,0.3g,Morrisons Braeburn Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates,11.8g,9.4g,Morrisons Braeburn Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,11.8g,9.4g,Morrisons Braeburn Apples 6 per pack,,,,,,,,,,,,90g,,,10%,,,,,,,,,,,,,,,,,,,
Fat ,0.1g,trace,Morrisons Braeburn Apples 6 per pack,,,,,,,,,,,,70g,,,trace,,,,,,,,,,,,,,,,,,,
of which saturates ,trace,trace,Morrisons Braeburn Apples 6 per pack,,,,,,,,,,,,20g,,,trace,,,,,,,,,,,,,,,,,,,
Fibre ,1.8g,1.4g,Morrisons Braeburn Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium ,trace,trace,Morrisons Braeburn Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt equivalent ,trace,trace,Morrisons Braeburn Apples 6 per pack,,,,,,,,,,,,6g,,,trace,,,,,,,,,,,,,,,,,,,
*Recommended guideline daily amounts for adults (GDA),,,Morrisons Braeburn Apples 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,196kJ/46kcal,,Morrisons Pineapple ,,,,,,,,,,,,2000kcal,,,,156kJ/37kcal,1.9%,,,,,,,,,,,,,,,,,
Protein ,0.4g,,Morrisons Pineapple ,,,,,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,
Carbohydrates ,10.1g,,Morrisons Pineapple ,,,,,,,,,,,,,,,,8.1g,,,,,,,,,,,,,,,,,,
 of which sugars ,10.1g,,Morrisons Pineapple ,,,,,,,,,,,,90g,,,,8.1g,9%,,,,,,,,,,,,,,,,,
Fat ,0.2g,,Morrisons Pineapple ,,,,,,,,,,,,70g,,,,0.2g,0.3%,,,,,,,,,,,,,,,,,
 of which saturates ,trace,,Morrisons Pineapple ,,,,,,,,,,,,20g,,,,trace,trace,,,,,,,,,,,,,,,,,
Fibre ,1.2g,,Morrisons Pineapple ,,,,,,,,,,,,,,,,1g,,,,,,,,,,,,,,,,,,
Sodium ,trace,,Morrisons Pineapple ,,,,,,,,,,,,,,,,trace,,,,,,,,,,,,,,,,,,
Salt equivalent ,trace,,Morrisons Pineapple ,,,,,,,,,,,,6g,,,,trace,trace,,,,,,,,,,,,,,,,,
*Recommended guideline daily amounts for adults (GDA),,,Morrisons Pineapple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,196kJ/47kcal,,Morrisons Sweet Pears Min 5 Per Pack ,,,,,,,,,,,,2000kcal,,,,,,157kJ/37kcal,1.9%,,,,,,,,,,,,,,,
Protein ,0.3g,,Morrisons Sweet Pears Min 5 Per Pack ,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,
Carbohydrates,10g,,Morrisons Sweet Pears Min 5 Per Pack ,,,,,,,,,,,,,,,,,,8g,,,,,,,,,,,,,,,,
of which sugars ,10g,,Morrisons Sweet Pears Min 5 Per Pack ,,,,,,,,,,,,90g,,,,,,8g,8.9%,,,,,,,,,,,,,,,
Fat ,0.1g,,Morrisons Sweet Pears Min 5 Per Pack ,,,,,,,,,,,,70g,,,,,,trace,trace,,,,,,,,,,,,,,,
of which saturates ,trace,,Morrisons Sweet Pears Min 5 Per Pack ,,,,,,,,,,,,20g,,,,,,trace,trace,,,,,,,,,,,,,,,
Fibre ,2.2g,,Morrisons Sweet Pears Min 5 Per Pack ,,,,,,,,,,,,,,,,,,1.8g,,,,,,,,,,,,,,,,
Sodium ,trace,,Morrisons Sweet Pears Min 5 Per Pack ,,,,,,,,,,,,,,,,,,trace,,,,,,,,,,,,,,,,
Salt equivalent ,trace,,Morrisons Sweet Pears Min 5 Per Pack ,,,,,,,,,,,,6g,,,,,,trace,trace,,,,,,,,,,,,,,,
*Recommended guideline daily amounts for adults (GDA),,,Morrisons Sweet Pears Min 5 Per Pack ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,233kJ/55kcal,,Morrisons Kiwi 6 per pack,,,,,,,,,,,,2000kcal,,,,,2.2%,,,186kJ/44kcal,,,,,,,,,,,,,,
Protein,1.1g,,Morrisons Kiwi 6 per pack,,,,,,,,,,,,,,,,,,,,0.9g,,,,,,,,,,,,,,
Carbohydrates,10.6g,,Morrisons Kiwi 6 per pack,,,,,,,,,,,,,,,,,,,,8.5g,,,,,,,,,,,,,,
of which sugars,10.3g,,Morrisons Kiwi 6 per pack,,,,,,,,,,,,90g,,,,,9.1%,,,8.2g,,,,,,,,,,,,,,
Fat,0.5g,,Morrisons Kiwi 6 per pack,,,,,,,,,,,,70g,,,,,0.6%,,,0.4g,,,,,,,,,,,,,,
of which saturates,nil,,Morrisons Kiwi 6 per pack,,,,,,,,,,,,20g,,,,,nil,,,nil,,,,,,,,,,,,,,
Fibre,1.9g,,Morrisons Kiwi 6 per pack,,,,,,,,,,,,,,,,,,,,1.5g,,,,,,,,,,,,,,
Sodium,trace,,Morrisons Kiwi 6 per pack,,,,,,,,,,,,,,,,,,,,trace,,,,,,,,,,,,,,
Salt equivalent,trace,,Morrisons Kiwi 6 per pack,,,,,,,,,,,,6g,,,,,trace,,,trace,,,,,,,,,,,,,,
*Recommended guideline daily amount for adults (GDA),,,Morrisons Kiwi 6 per pack,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,
Energy ,226kJ/53kcal,180kJ/43kcal,Morrisons Golden Delicious Apples  6 per pack,,,,,,,,,,,,2000kcal,,,2.2%,,,,,,,,,,,,,,,,,,,
Protein ,0.4g,0.3g,Morrisons Golden Delicious Apples  6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates ,11.8g,9.4g,Morrisons Golden Delicious Apples  6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,11.8g,9.4g,Morrisons Golden Delicious Apples  6 per pack,,,,,,,,,,,,90g,,,10%,,,,,,,,,,,,,,,,,,,
Fat ,0.1g,trace,Morrisons Golden Delicious Apples  6 per pack,,,,,,,,,,,,70g,,,trace,,,,,,,,,,,,,,,,,,,
of which saturates ,trace,trace,Morrisons Golden Delicious Apples  6 per pack,,,,,,,,,,,,20g,,,trace,,,,,,,,,,,,,,,,,,,
Fibre ,1.8g,1.4g,Morrisons Golden Delicious Apples  6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium ,trace,trace,Morrisons Golden Delicious Apples  6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt equivalent ,trace,trace,Morrisons Golden Delicious Apples  6 per pack,,,,,,,,,,,,6g,,,trace,,,,,,,,,,,,,,,,,,,
*Recommended guideline daily amounts for adults (GDA),,,Morrisons Golden Delicious Apples  6 per pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,Morrisons Pomegranate  100g,,,,,266kJ/63kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,Morrisons Pomegranate  100g,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,Morrisons Pomegranate  100g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,Morrisons Pomegranate  100g,,,,,11.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,Morrisons Pomegranate  100g,,,,,11.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,Morrisons Pomegranate  100g,,,,,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,Morrisons Pomegranate  100g,,,,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,Morrisons Pomegranate  100g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,226kJ/53kcal,180kJ/43kcal,Morrisons Dessert Apples  1.8kg,,,,,,,,,,,,2000kcal,,,,,,,,,2.2%,,,,,,,,,,,,,
Protein ,0.4g,0.3g,Morrisons Dessert Apples  1.8kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates,11.8g,9.4g,Morrisons Dessert Apples  1.8kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,11.8g,9.4g,Morrisons Dessert Apples  1.8kg,,,,,,,,,,,,90g,,,,,,,,,10%,,,,,,,,,,,,,
Fat ,0.1g,trace,Morrisons Dessert Apples  1.8kg,,,,,,,,,,,,70g,,,,,,,,,trace,,,,,,,,,,,,,
of which saturates ,trace,trace,Morrisons Dessert Apples  1.8kg,,,,,,,,,,,,20g,,,,,,,,,trace,,,,,,,,,,,,,
Fibre ,1.8g,1.4g,Morrisons Dessert Apples  1.8kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium ,trace,trace,Morrisons Dessert Apples  1.8kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt equivalent ,trace,trace,Morrisons Dessert Apples  1.8kg,,,,,,,,,,,,6g,,,,,,,,,trace,,,,,,,,,,,,,
*Recommended guideline daily amounts for adults (GDA),,,Morrisons Dessert Apples  1.8kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,1070kJ/253kcal,,Morrisons Soft Apricots  250g,,,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,321kJ/76kcal,4%,,,,,,,,,,,
Fat ,0.5g,,Morrisons Soft Apricots  250g,,,70g,,,,,,,,,,,,,,,,,,,0.2g,<1%,,,,,,,,,,,
 of which saturates ,trace,,Morrisons Soft Apricots  250g,,,20g,,,,,,,,,,,,,,,,,,,trace,<1%,,,,,,,,,,,
Carbohydrate ,55g,,Morrisons Soft Apricots  250g,,,,,,,,,,,,,,,,,,,,,,17g,,,,,,,,,,,,
 of which sugars ,53g,,Morrisons Soft Apricots  250g,,,90g,,,,,,,,,,,,,,,,,,,16g,18%,,,,,,,,,,,
Fibre ,7.3g,,Morrisons Soft Apricots  250g,,,,,,,,,,,,,,,,,,,,,,2.2g,,,,,,,,,,,,
Protein ,3.4g,,Morrisons Soft Apricots  250g,,,,,,,,,,,,,,,,,,,,,,1g,,,,,,,,,,,,
Salt ,0.03g,,Morrisons Soft Apricots  250g,,,6g,,,,,,,,,,,,,,,,,,,0.01g,<1%,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,Morrisons Soft Apricots  250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approx. 8 portions,,,Morrisons Soft Apricots  250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,Morrisons Mango 150g,,,,,278kJ/66kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,Morrisons Mango 150g,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,Morrisons Mango 150g,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,Morrisons Mango 150g,,,,,13.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,Morrisons Mango 150g,,,,,13.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,Morrisons Mango 150g,,,,,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,Morrisons Mango 150g,,,,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,Morrisons Mango 150g,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,226kJ/53kcal,,Morrisons  Organic Apples  Min 6 Per Pack 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,180kJ/43kcal,,,,,,,,,,
Protein ,0.4g,,Morrisons  Organic Apples  Min 6 Per Pack 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,0.3g,,,,,,,,,,
Carbohydrates,11.8g,,Morrisons  Organic Apples  Min 6 Per Pack 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,9.4g,,,,,,,,,,
 of which sugars ,11.8g,,Morrisons  Organic Apples  Min 6 Per Pack 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,9.4g,,,,,,,,,,
Fat ,0.1g,,Morrisons  Organic Apples  Min 6 Per Pack 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,trace,,,,,,,,,,
 of which saturates ,trace,,Morrisons  Organic Apples  Min 6 Per Pack 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,trace,,,,,,,,,,
Fibre ,1.8g,,Morrisons  Organic Apples  Min 6 Per Pack 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,1.4g,,,,,,,,,,
Sodium ,trace,,Morrisons  Organic Apples  Min 6 Per Pack 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,trace,,,,,,,,,,
Salt equivalent ,trace,,Morrisons  Organic Apples  Min 6 Per Pack 6 per pack,,,,,,,,,,,,,,,,,,,,,,,,trace,,,,,,,,,,
Energy ,2859kJ/693kcal,,Morrisons Pine Nuts  100g,1144kJ/277kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,68.6g,,Morrisons Pine Nuts  100g,27.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,4.6g,,Morrisons Pine Nuts  100g,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,4g,,Morrisons Pine Nuts  100g,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,3.9g,,Morrisons Pine Nuts  100g,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,1.9g,,Morrisons Pine Nuts  100g,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,14g,,Morrisons Pine Nuts  100g,5.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,Trace,,Morrisons Pine Nuts  100g,Trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamins and minerals,,,Morrisons Pine Nuts  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin E ,13.7mg (114% RI),,Morrisons Pine Nuts  100g,5.5mg (46% RI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approximately 2 portions,,,Morrisons Pine Nuts  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,139kJ/33kcal,,Morrisons Watermelon Wedges 550g,,,,111kJ/26kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,0.3g,,Morrisons Watermelon Wedges 550g,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,0.1g,,Morrisons Watermelon Wedges 550g,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,6.9g,,Morrisons Watermelon Wedges 550g,,,,5.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,6.9g,,Morrisons Watermelon Wedges 550g,,,,5.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,0.5g,,Morrisons Watermelon Wedges 550g,,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,0.4g,,Morrisons Watermelon Wedges 550g,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,trace,,Morrisons Watermelon Wedges 550g,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approximately 6 portions,,,Morrisons Watermelon Wedges 550g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,2510kJ/607kcal,,Morrisons Savers Mixed Nuts        200g,,,,,,,,,,,,2000kcal,,,,,,,,,,,,,1255kJ/303kcal,15%,,,,,,,,
Protein ,22.5g,,Morrisons Savers Mixed Nuts        200g,,,,,,,,,,,,,,,,,,,,,,,,,11.3g,,,,,,,,,
Carbohydrates ,10g,,Morrisons Savers Mixed Nuts        200g,,,,,,,,,,,,,,,,,,,,,,,,,5g,,,,,,,,,
 of which sugars ,5.3g,,Morrisons Savers Mixed Nuts        200g,,,,,,,,,,,,90g,,,,,,,,,,,,,2.7g,3%,,,,,,,,
Fat ,51.5g,,Morrisons Savers Mixed Nuts        200g,,,,,,,,,,,,70g,,,,,,,,,,,,,25.8g,37%,,,,,,,,
 of which saturates ,6.8g,,Morrisons Savers Mixed Nuts        200g,,,,,,,,,,,,20g,,,,,,,,,,,,,3.4g,17%,,,,,,,,
Fibre ,6.5g,,Morrisons Savers Mixed Nuts        200g,,,,,,,,,,,,,,,,,,,,,,,,,3.3g,,,,,,,,,
Sodium ,trace,,Morrisons Savers Mixed Nuts        200g,,,,,,,,,,,,,,,,,,,,,,,,,trace,,,,,,,,,
Salt equivalent ,trace,,Morrisons Savers Mixed Nuts        200g,,,,,,,,,,,,6g,,,,,,,,,,,,,trace,trace,,,,,,,,
*Recommended guideline daily amounts for adults (GDA),,,Morrisons Savers Mixed Nuts        200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,266kJ/63kcal,,Morrisons Pomegranate 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,0.2g,,Morrisons Pomegranate 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates,trace,,Morrisons Pomegranate 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,11.8g,,Morrisons Pomegranate 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,11.8g,,Morrisons Pomegranate 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,4.5g,,Morrisons Pomegranate 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,1.3g,,Morrisons Pomegranate 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
