Typical Values,(oven cooked) per 100g,(oven cooked) per fillet (97g),%RI,your RI*,item name,price,image_url,product_url,(grilled) per 100g,(grilled) per grilled sausage (26g),(as sold) per 100g,(grilled) per grilled sausage (53g),(as consumed) per 100g,(as consumed) per kiev (approx. 113g),(as consumed) per 3 goujons (approx. 76g),(grilled) per rasher (21g),% RI,(grilled) per rasher (25g),per grilled sausage (55g),per 100g,(grilled) per grilled sausage (27g),Per 100g as sold,(grilled) per rasher (22g),(grilled) per grilled sausage (54g),per fillet (80g),(oven cooked) per 100g:,(as consumed) per kiev (approx. 127g),(as consumed) per 1/2 pack (approx. 90g),(as consumed) 10 bites (approx. 70g),per 3 goujons (approx. 73g),(as sold) Per 100g,(as sold) Per 1/4 pack,(as consumed) per 100g:,Per 100g grilled,Per rasher 25g grilled,% intake per 25g,(as consumed) per 1/2 pack (123g),(as consumed) per 1/2 pack (158g),(oven cooked) per 1/2 pack (88g),(as consumed) per 3 goujons (approx. 82g),Per 100g (grilled),Per 2 chipolatas (59g) (grilled),Per 2 sausages (117g) (grilled),per grilled 100g,per grilled sausage (54g),(as consumed) per fillet (approx. 164g),(grilled) per rasher (approx. 18g),Per 100g As Sold,(as consumed) per fishcake (approx. 140g),per fishcake (approx. 140g) %RI,Per 2 chipolatas (58g) (grilled),(as consumed) per fillet (approx. 155g),(grilled) per sausage (49g),(cooked as per instructions) Per 100g,(cooked as per instructions) Per 150g,(as consumed) per 100 g,(as consumed) per 1/2 pack (131g),(boiled) per 100g,(boiled) per 1/2 pack (198g),(as consumed) per fishcake (approx. 136g),per fishcake (approx. 136g),(as sold) per pack,(grilled) per sausage (54g),Per 100g,per 100g as sold:,(grilled) per grilled sausage (55g),(as grilled) per 100g,per 100g:,(as consumed) per 1/2 pack (128g),(as consumed) per drumstick and thigh (excl. bone) (approx.191g),(grilled) per 2 rashers (approx. 21g),(oven cooked) per 1/2 pack (192g),(as sold) per 100g:,(shallow fried) per 100g:,per pack,you RI*,(as consumed) per pudding (27g),(stir fried) per 100g,100g of Grilled Sausage contains,1 Grilled Sausage (46g) contains,(as consumed) per grilled sausage (approx. 42g),per grilled sausage (50g) %RI,Per 100g Grilled,1 Grilled Sausage (23g) contains,(as consumed) per pudding (39g),(grilled) per burger (approx. 83g)
Fat ,,,1%,70g,Morrisons Frozen  Cooked & Peeled Large Prawns 250g,£4,['/productImages/355/355922011_0_640x640.jpg?identifier=6ecd111be57813b74c1f0aff68fe8079'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-peeled-large-prawns-355922011,,,,,,,,,,,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,1%,20g,Morrisons Frozen  Cooked & Peeled Large Prawns 250g,£4,['/productImages/355/355922011_0_640x640.jpg?identifier=6ecd111be57813b74c1f0aff68fe8079'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-peeled-large-prawns-355922011,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Frozen  Cooked & Peeled Large Prawns 250g,£4,['/productImages/355/355922011_0_640x640.jpg?identifier=6ecd111be57813b74c1f0aff68fe8079'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-peeled-large-prawns-355922011,,,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,0%,90g,Morrisons Frozen  Cooked & Peeled Large Prawns 250g,£4,['/productImages/355/355922011_0_640x640.jpg?identifier=6ecd111be57813b74c1f0aff68fe8079'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-peeled-large-prawns-355922011,,,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Frozen  Cooked & Peeled Large Prawns 250g,£4,['/productImages/355/355922011_0_640x640.jpg?identifier=6ecd111be57813b74c1f0aff68fe8079'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-peeled-large-prawns-355922011,,,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Frozen  Cooked & Peeled Large Prawns 250g,£4,['/productImages/355/355922011_0_640x640.jpg?identifier=6ecd111be57813b74c1f0aff68fe8079'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-peeled-large-prawns-355922011,,,,,,,,,,,,16.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,21%,6g,Morrisons Frozen  Cooked & Peeled Large Prawns 250g,£4,['/productImages/355/355922011_0_640x640.jpg?identifier=6ecd111be57813b74c1f0aff68fe8079'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-peeled-large-prawns-355922011,,,,,,,,,,,,1.25g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Frozen  Cooked & Peeled Large Prawns 250g,£4,['/productImages/355/355922011_0_640x640.jpg?identifier=6ecd111be57813b74c1f0aff68fe8079'],https://groceries.morrisons.com//products/morrisons-frozen-cooked-peeled-large-prawns-355922011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,3%,8400kJ/2000kcal,Morrisons The Best Cumberland Chipolata Sausages 12 Pack 375g,£2.65,['/productImages/121/121933011_0_640x640.jpg?identifier=9fbef0d60b481b0a52694d1f3060146c'],https://groceries.morrisons.com//products/morrisons-the-best-cumberland-chipolata-sausages-12-pack-121933011,1039kJ/250kcal,,,,,,,,,,,,280kJ/67kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,7%,70g,Morrisons The Best Cumberland Chipolata Sausages 12 Pack 375g,£2.65,['/productImages/121/121933011_0_640x640.jpg?identifier=9fbef0d60b481b0a52694d1f3060146c'],https://groceries.morrisons.com//products/morrisons-the-best-cumberland-chipolata-sausages-12-pack-121933011,17.1g,,,,,,,,,,,,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,8%,20g,Morrisons The Best Cumberland Chipolata Sausages 12 Pack 375g,£2.65,['/productImages/121/121933011_0_640x640.jpg?identifier=9fbef0d60b481b0a52694d1f3060146c'],https://groceries.morrisons.com//products/morrisons-the-best-cumberland-chipolata-sausages-12-pack-121933011,6.1g,,,,,,,,,,,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons The Best Cumberland Chipolata Sausages 12 Pack 375g,£2.65,['/productImages/121/121933011_0_640x640.jpg?identifier=9fbef0d60b481b0a52694d1f3060146c'],https://groceries.morrisons.com//products/morrisons-the-best-cumberland-chipolata-sausages-12-pack-121933011,3.6g,,,,,,,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,<1%,90g,Morrisons The Best Cumberland Chipolata Sausages 12 Pack 375g,£2.65,['/productImages/121/121933011_0_640x640.jpg?identifier=9fbef0d60b481b0a52694d1f3060146c'],https://groceries.morrisons.com//products/morrisons-the-best-cumberland-chipolata-sausages-12-pack-121933011,1.3g,,,,,,,,,,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons The Best Cumberland Chipolata Sausages 12 Pack 375g,£2.65,['/productImages/121/121933011_0_640x640.jpg?identifier=9fbef0d60b481b0a52694d1f3060146c'],https://groceries.morrisons.com//products/morrisons-the-best-cumberland-chipolata-sausages-12-pack-121933011,1g,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons The Best Cumberland Chipolata Sausages 12 Pack 375g,£2.65,['/productImages/121/121933011_0_640x640.jpg?identifier=9fbef0d60b481b0a52694d1f3060146c'],https://groceries.morrisons.com//products/morrisons-the-best-cumberland-chipolata-sausages-12-pack-121933011,19.9g,,,,,,,,,,,,5.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,6%,6g,Morrisons The Best Cumberland Chipolata Sausages 12 Pack 375g,£2.65,['/productImages/121/121933011_0_640x640.jpg?identifier=9fbef0d60b481b0a52694d1f3060146c'],https://groceries.morrisons.com//products/morrisons-the-best-cumberland-chipolata-sausages-12-pack-121933011,1.25g,,,,,,,,,,,,0.34g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Cumberland Chipolata Sausages 12 Pack 375g,£2.65,['/productImages/121/121933011_0_640x640.jpg?identifier=9fbef0d60b481b0a52694d1f3060146c'],https://groceries.morrisons.com//products/morrisons-the-best-cumberland-chipolata-sausages-12-pack-121933011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 12 portions,,,,,Morrisons The Best Cumberland Chipolata Sausages 12 Pack 375g,£2.65,['/productImages/121/121933011_0_640x640.jpg?identifier=9fbef0d60b481b0a52694d1f3060146c'],https://groceries.morrisons.com//products/morrisons-the-best-cumberland-chipolata-sausages-12-pack-121933011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,,,,Spoiltpig Unsmoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116149011_0_640x640.jpg?identifier=aed37aa5f4d39604cb5b72eae2113eee'],https://groceries.morrisons.com//products/spoiltpig-unsmoked-dry-cured-back-bacon-rashers-116149011,,,,,,,,,,,,,,993kJ/239kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,,,,Spoiltpig Unsmoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116149011_0_640x640.jpg?identifier=aed37aa5f4d39604cb5b72eae2113eee'],https://groceries.morrisons.com//products/spoiltpig-unsmoked-dry-cured-back-bacon-rashers-116149011,,,,,,,,,,,,,,17.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates,,,,,Spoiltpig Unsmoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116149011_0_640x640.jpg?identifier=aed37aa5f4d39604cb5b72eae2113eee'],https://groceries.morrisons.com//products/spoiltpig-unsmoked-dry-cured-back-bacon-rashers-116149011,,,,,,,,,,,,,,7.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates,,,,,Spoiltpig Unsmoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116149011_0_640x640.jpg?identifier=aed37aa5f4d39604cb5b72eae2113eee'],https://groceries.morrisons.com//products/spoiltpig-unsmoked-dry-cured-back-bacon-rashers-116149011,,,,,,,,,,,,,,<1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
