Typical Values,(oven cooked) per 100g,(oven cooked) per fillet (97g),%RI,your RI*,item name,price,image_url,product_url,(grilled) per 100g,(grilled) per grilled sausage (26g),(as sold) per 100g,(grilled) per grilled sausage (53g),(as consumed) per 100g,(as consumed) per kiev (approx. 113g),(as consumed) per 3 goujons (approx. 76g),(grilled) per rasher (21g),% RI,(grilled) per rasher (25g),per grilled sausage (55g),per 100g,(grilled) per grilled sausage (27g),Per 100g as sold,(grilled) per rasher (22g),(grilled) per grilled sausage (54g),per fillet (80g),(oven cooked) per 100g:,(as consumed) per kiev (approx. 127g),(as consumed) per 1/2 pack (approx. 90g),(as consumed) 10 bites (approx. 70g),per 3 goujons (approx. 73g),(as sold) Per 100g,(as sold) Per 1/4 pack,(as consumed) per 100g:,Per 100g grilled,Per rasher 25g grilled,% intake per 25g,(as consumed) per 1/2 pack (123g),(as consumed) per 1/2 pack (158g),(oven cooked) per 1/2 pack (88g),(as consumed) per 3 goujons (approx. 82g),Per 100g (grilled),Per 2 chipolatas (59g) (grilled),Per 2 sausages (117g) (grilled),per grilled 100g,per grilled sausage (54g),(as consumed) per fillet (approx. 164g),(grilled) per rasher (approx. 18g),Per 100g As Sold,(as consumed) per fishcake (approx. 140g),per fishcake (approx. 140g) %RI,Per 2 chipolatas (58g) (grilled),(as consumed) per fillet (approx. 155g),(grilled) per sausage (49g),(cooked as per instructions) Per 100g,(cooked as per instructions) Per 150g,(as consumed) per 100 g,(as consumed) per 1/2 pack (131g),(boiled) per 100g,(boiled) per 1/2 pack (198g),(as consumed) per fishcake (approx. 136g),per fishcake (approx. 136g),(as sold) per pack,(grilled) per sausage (54g),Per 100g,per 100g as sold:,(grilled) per grilled sausage (55g),(as grilled) per 100g,per 100g:,(as consumed) per 1/2 pack (128g),(as consumed) per drumstick and thigh (excl. bone) (approx.191g),(grilled) per 2 rashers (approx. 21g),(oven cooked) per 1/2 pack (192g),(as sold) per 100g:,(shallow fried) per 100g:,per pack,you RI*,(as consumed) per pudding (27g),(stir fried) per 100g,100g of Grilled Sausage contains,1 Grilled Sausage (46g) contains,(as consumed) per grilled sausage (approx. 42g),per grilled sausage (50g) %RI,Per 100g Grilled,1 Grilled Sausage (23g) contains,(as consumed) per pudding (39g),(grilled) per burger (approx. 83g)
Energy ,988kJ,958kJ,,8400kJ,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,237kcal,230kcal,11%,2000kcal,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,16.2g,15.7g,22%,70g,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,2.3g,2.2g,11%,20g,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,0.5g,0.5g,,,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,0.1g,0.1g,<1%,90g,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,0.3g,0.3g,,,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,22.2g,21.5g,,,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,0.19g,0.18g,3%,6g,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omega 3:,2.3g,,,,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which EPA,0.4g,,,,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHA,0.5g,,,,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 2 portions,,,,,Morrisons Market St Salmon Fillets 220g,£4,['/productImages/403/403510011_0_640x640.jpg?identifier=afcc2a23c199e3071a6b40c38b28a6ae'],https://groceries.morrisons.com//products/morrisons-market-st-salmon-fillets-403510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,3%,8400kJ/2000kcal,Morrisons The Best Pork Chipolatas 12 Pack 375g,£2.65,['/productImages/121/121932011_0_640x640.jpg?identifier=97baf4df8331a66c76f6f4e27ce400a5'],https://groceries.morrisons.com//products/morrisons-the-best-pork-chipolatas-12-pack-121932011,1052kJ/253kcal,274kJ/66kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,7%,70g,Morrisons The Best Pork Chipolatas 12 Pack 375g,£2.65,['/productImages/121/121932011_0_640x640.jpg?identifier=97baf4df8331a66c76f6f4e27ce400a5'],https://groceries.morrisons.com//products/morrisons-the-best-pork-chipolatas-12-pack-121932011,17.6g,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,8%,20g,Morrisons The Best Pork Chipolatas 12 Pack 375g,£2.65,['/productImages/121/121932011_0_640x640.jpg?identifier=97baf4df8331a66c76f6f4e27ce400a5'],https://groceries.morrisons.com//products/morrisons-the-best-pork-chipolatas-12-pack-121932011,6.4g,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons The Best Pork Chipolatas 12 Pack 375g,£2.65,['/productImages/121/121932011_0_640x640.jpg?identifier=97baf4df8331a66c76f6f4e27ce400a5'],https://groceries.morrisons.com//products/morrisons-the-best-pork-chipolatas-12-pack-121932011,2.7g,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,<1%,90g,Morrisons The Best Pork Chipolatas 12 Pack 375g,£2.65,['/productImages/121/121932011_0_640x640.jpg?identifier=97baf4df8331a66c76f6f4e27ce400a5'],https://groceries.morrisons.com//products/morrisons-the-best-pork-chipolatas-12-pack-121932011,1.2g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons The Best Pork Chipolatas 12 Pack 375g,£2.65,['/productImages/121/121932011_0_640x640.jpg?identifier=97baf4df8331a66c76f6f4e27ce400a5'],https://groceries.morrisons.com//products/morrisons-the-best-pork-chipolatas-12-pack-121932011,1.7g,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons The Best Pork Chipolatas 12 Pack 375g,£2.65,['/productImages/121/121932011_0_640x640.jpg?identifier=97baf4df8331a66c76f6f4e27ce400a5'],https://groceries.morrisons.com//products/morrisons-the-best-pork-chipolatas-12-pack-121932011,20g,5.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,5%,6g,Morrisons The Best Pork Chipolatas 12 Pack 375g,£2.65,['/productImages/121/121932011_0_640x640.jpg?identifier=97baf4df8331a66c76f6f4e27ce400a5'],https://groceries.morrisons.com//products/morrisons-the-best-pork-chipolatas-12-pack-121932011,1.23g,0.32g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Pork Chipolatas 12 Pack 375g,£2.65,['/productImages/121/121932011_0_640x640.jpg?identifier=97baf4df8331a66c76f6f4e27ce400a5'],https://groceries.morrisons.com//products/morrisons-the-best-pork-chipolatas-12-pack-121932011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 12 portions,,,,,Morrisons The Best Pork Chipolatas 12 Pack 375g,£2.65,['/productImages/121/121932011_0_640x640.jpg?identifier=97baf4df8331a66c76f6f4e27ce400a5'],https://groceries.morrisons.com//products/morrisons-the-best-pork-chipolatas-12-pack-121932011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,10%,8400kJ/2000kcal,Morrisons Market St British Sirloin Steak 200g,£3.50,['/productImages/408/408297011_0_640x640.jpg?identifier=a380040876af074dd1baa1837997411f'],https://groceries.morrisons.com//products/morrisons-market-st-british-sirloin-steak-408297011,,,837kJ/201kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,18%,70g,Morrisons Market St British Sirloin Steak 200g,£3.50,['/productImages/408/408297011_0_640x640.jpg?identifier=a380040876af074dd1baa1837997411f'],https://groceries.morrisons.com//products/morrisons-market-st-british-sirloin-steak-408297011,,,12.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,28%,20g,Morrisons Market St British Sirloin Steak 200g,£3.50,['/productImages/408/408297011_0_640x640.jpg?identifier=a380040876af074dd1baa1837997411f'],https://groceries.morrisons.com//products/morrisons-market-st-british-sirloin-steak-408297011,,,5.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Market St British Sirloin Steak 200g,£3.50,['/productImages/408/408297011_0_640x640.jpg?identifier=a380040876af074dd1baa1837997411f'],https://groceries.morrisons.com//products/morrisons-market-st-british-sirloin-steak-408297011,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,0%,90g,Morrisons Market St British Sirloin Steak 200g,£3.50,['/productImages/408/408297011_0_640x640.jpg?identifier=a380040876af074dd1baa1837997411f'],https://groceries.morrisons.com//products/morrisons-market-st-british-sirloin-steak-408297011,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Market St British Sirloin Steak 200g,£3.50,['/productImages/408/408297011_0_640x640.jpg?identifier=a380040876af074dd1baa1837997411f'],https://groceries.morrisons.com//products/morrisons-market-st-british-sirloin-steak-408297011,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Market St British Sirloin Steak 200g,£3.50,['/productImages/408/408297011_0_640x640.jpg?identifier=a380040876af074dd1baa1837997411f'],https://groceries.morrisons.com//products/morrisons-market-st-british-sirloin-steak-408297011,,,21.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,3%,6g,Morrisons Market St British Sirloin Steak 200g,£3.50,['/productImages/408/408297011_0_640x640.jpg?identifier=a380040876af074dd1baa1837997411f'],https://groceries.morrisons.com//products/morrisons-market-st-british-sirloin-steak-408297011,,,0.16g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Market St British Sirloin Steak 200g,£3.50,['/productImages/408/408297011_0_640x640.jpg?identifier=a380040876af074dd1baa1837997411f'],https://groceries.morrisons.com//products/morrisons-market-st-british-sirloin-steak-408297011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,818kJ/196kcal,,10%,8400kJ/2000kcal,Morrisons Chicken Thigh Fillets Boneless  600g,£2.99,['/productImages/252/252637011_0_640x640.jpg?identifier=24a1b8ebd0e624bda1e8e8868231e3fb'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-252637011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,10.9g,,16%,70g,Morrisons Chicken Thigh Fillets Boneless  600g,£2.99,['/productImages/252/252637011_0_640x640.jpg?identifier=24a1b8ebd0e624bda1e8e8868231e3fb'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-252637011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates,2.9g,,15%,20g,Morrisons Chicken Thigh Fillets Boneless  600g,£2.99,['/productImages/252/252637011_0_640x640.jpg?identifier=24a1b8ebd0e624bda1e8e8868231e3fb'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-252637011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,nil,,,,Morrisons Chicken Thigh Fillets Boneless  600g,£2.99,['/productImages/252/252637011_0_640x640.jpg?identifier=24a1b8ebd0e624bda1e8e8868231e3fb'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-252637011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars,nil,,0%,90g,Morrisons Chicken Thigh Fillets Boneless  600g,£2.99,['/productImages/252/252637011_0_640x640.jpg?identifier=24a1b8ebd0e624bda1e8e8868231e3fb'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-252637011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,nil,,,,Morrisons Chicken Thigh Fillets Boneless  600g,£2.99,['/productImages/252/252637011_0_640x640.jpg?identifier=24a1b8ebd0e624bda1e8e8868231e3fb'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-252637011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,24.4g,,,,Morrisons Chicken Thigh Fillets Boneless  600g,£2.99,['/productImages/252/252637011_0_640x640.jpg?identifier=24a1b8ebd0e624bda1e8e8868231e3fb'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-252637011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,0.25g,,4%,6g,Morrisons Chicken Thigh Fillets Boneless  600g,£2.99,['/productImages/252/252637011_0_640x640.jpg?identifier=24a1b8ebd0e624bda1e8e8868231e3fb'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-252637011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Chicken Thigh Fillets Boneless  600g,£2.99,['/productImages/252/252637011_0_640x640.jpg?identifier=24a1b8ebd0e624bda1e8e8868231e3fb'],https://groceries.morrisons.com//products/morrisons-chicken-thigh-fillets-boneless-252637011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,,7%,8400kJ/2000kcal,Morrisons The Best Thick Pork Sausages 400g,£2.65,['/productImages/121/121931011_0_640x640.jpg?identifier=424bfdf738324c60dc5260ff800496d3'],https://groceries.morrisons.com//products/morrisons-the-best-thick-pork-sausages-121931011,1090kJ/262kcal,,,578kJ/139kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,,14%,70g,Morrisons The Best Thick Pork Sausages 400g,£2.65,['/productImages/121/121931011_0_640x640.jpg?identifier=424bfdf738324c60dc5260ff800496d3'],https://groceries.morrisons.com//products/morrisons-the-best-thick-pork-sausages-121931011,18.9g,,,10g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates,,,19%,20g,Morrisons The Best Thick Pork Sausages 400g,£2.65,['/productImages/121/121931011_0_640x640.jpg?identifier=424bfdf738324c60dc5260ff800496d3'],https://groceries.morrisons.com//products/morrisons-the-best-thick-pork-sausages-121931011,7g,,,3.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,,,,Morrisons The Best Thick Pork Sausages 400g,£2.65,['/productImages/121/121931011_0_640x640.jpg?identifier=424bfdf738324c60dc5260ff800496d3'],https://groceries.morrisons.com//products/morrisons-the-best-thick-pork-sausages-121931011,2.6g,,,1.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars,,,<1%,90g,Morrisons The Best Thick Pork Sausages 400g,£2.65,['/productImages/121/121931011_0_640x640.jpg?identifier=424bfdf738324c60dc5260ff800496d3'],https://groceries.morrisons.com//products/morrisons-the-best-thick-pork-sausages-121931011,0.8g,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,,,,,Morrisons The Best Thick Pork Sausages 400g,£2.65,['/productImages/121/121931011_0_640x640.jpg?identifier=424bfdf738324c60dc5260ff800496d3'],https://groceries.morrisons.com//products/morrisons-the-best-thick-pork-sausages-121931011,1.1g,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,,,,Morrisons The Best Thick Pork Sausages 400g,£2.65,['/productImages/121/121931011_0_640x640.jpg?identifier=424bfdf738324c60dc5260ff800496d3'],https://groceries.morrisons.com//products/morrisons-the-best-thick-pork-sausages-121931011,19.8g,,,10.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,,9%,6g,Morrisons The Best Thick Pork Sausages 400g,£2.65,['/productImages/121/121931011_0_640x640.jpg?identifier=424bfdf738324c60dc5260ff800496d3'],https://groceries.morrisons.com//products/morrisons-the-best-thick-pork-sausages-121931011,1.02g,,,0.54g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Thick Pork Sausages 400g,£2.65,['/productImages/121/121931011_0_640x640.jpg?identifier=424bfdf738324c60dc5260ff800496d3'],https://groceries.morrisons.com//products/morrisons-the-best-thick-pork-sausages-121931011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 6 portions,,,,,Morrisons The Best Thick Pork Sausages 400g,£2.65,['/productImages/121/121931011_0_640x640.jpg?identifier=424bfdf738324c60dc5260ff800496d3'],https://groceries.morrisons.com//products/morrisons-the-best-thick-pork-sausages-121931011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,19%,8400kJ/2000kcal,Morrisons 2 Garlic Breaded Chicken Kievs 260g,£1.25,['/productImages/116/116605011_0_640x640.jpg?identifier=fd952d3b202187c1a716f09e8eb4ed3f'],https://groceries.morrisons.com//products/morrisons-2-garlic-breaded-chicken-kievs-116605011,,,,,1387kJ/333kcal,1562kJ/376kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,39%,70g,Morrisons 2 Garlic Breaded Chicken Kievs 260g,£1.25,['/productImages/116/116605011_0_640x640.jpg?identifier=fd952d3b202187c1a716f09e8eb4ed3f'],https://groceries.morrisons.com//products/morrisons-2-garlic-breaded-chicken-kievs-116605011,,,,,24.2g,27.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,54%,20g,Morrisons 2 Garlic Breaded Chicken Kievs 260g,£1.25,['/productImages/116/116605011_0_640x640.jpg?identifier=fd952d3b202187c1a716f09e8eb4ed3f'],https://groceries.morrisons.com//products/morrisons-2-garlic-breaded-chicken-kievs-116605011,,,,,9.6g,10.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons 2 Garlic Breaded Chicken Kievs 260g,£1.25,['/productImages/116/116605011_0_640x640.jpg?identifier=fd952d3b202187c1a716f09e8eb4ed3f'],https://groceries.morrisons.com//products/morrisons-2-garlic-breaded-chicken-kievs-116605011,,,,,14g,15.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,1%,90g,Morrisons 2 Garlic Breaded Chicken Kievs 260g,£1.25,['/productImages/116/116605011_0_640x640.jpg?identifier=fd952d3b202187c1a716f09e8eb4ed3f'],https://groceries.morrisons.com//products/morrisons-2-garlic-breaded-chicken-kievs-116605011,,,,,0.7g,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons 2 Garlic Breaded Chicken Kievs 260g,£1.25,['/productImages/116/116605011_0_640x640.jpg?identifier=fd952d3b202187c1a716f09e8eb4ed3f'],https://groceries.morrisons.com//products/morrisons-2-garlic-breaded-chicken-kievs-116605011,,,,,0.4g,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons 2 Garlic Breaded Chicken Kievs 260g,£1.25,['/productImages/116/116605011_0_640x640.jpg?identifier=fd952d3b202187c1a716f09e8eb4ed3f'],https://groceries.morrisons.com//products/morrisons-2-garlic-breaded-chicken-kievs-116605011,,,,,14.7g,16.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
