item_name,price,image_url
                  Mattessons Lightly Smoked Turkey Rashers                                  200g                 ,               £2.40              ,https://groceries.morrisons.com/productImages/116/116146011_0_150x150.jpg?identifier=5a80b445c60cbf081f31a841bc4f9288
                  Cauldron Vegan Organic Tofu                                  396g                 ,               £1.50              ,https://groceries.morrisons.com/productImages/114/114434011_0_150x150.jpg?identifier=6623a306f984306a9c0f164128e202f2
                  Morrisons Spring Lamb Leg Roast Shank                                  Typically: 1.2kg                 ,               £7.20              ,https://groceries.morrisons.com/productImages/297/297705011_0_150x150.jpg?identifier=b66d899000e9f1b2c6d25785a9e096a1
                  Morrisons The Best Saucy Smok…                                  290g                 ,               £2.60              ,https://groceries.morrisons.com/productImages/218/218172011_0_150x150.jpg?identifier=d3db56d4e9608f910d2e50c50e4e6a97
                  Morrisons The Best 2 Cod & Parsley Sauce Fish Cakes                                  290g                 ,               £2.60              ,https://groceries.morrisons.com/productImages/272/272017011_0_150x150.jpg?identifier=581f482901f0890c4633ace523c481f8
                  Morrisons British Beef Medallions                                  340g                 ,               £2.99              ,https://groceries.morrisons.com/productImages/375/375039011_0_150x150.jpg?identifier=85b1c78cab50c972c0f9e2303ce35ad5
                  Morrisons Slow Cooked Beef Joint In Red Wine Gravy                                  470g                 ,               £4              ,https://groceries.morrisons.com/productImages/485/485088011_0_150x150.jpg?identifier=1831592051bbe5ecfecfb85898de78ed
                  Mattessons Original Turkey Rashers                                  200g                 ,               £2.40              ,https://groceries.morrisons.com/productImages/116/116145011_0_150x150.jpg?identifier=2e74baf03def098521f6c9ca4f82a3cf
                  Morrisons Slow Cooked Sweet Bbq Rack Of Ribs                                  510g                 ,               £4              ,https://groceries.morrisons.com/productImages/531/531070011_0_150x150.jpg?identifier=456003b5f80a7a6ed735812696223b5c
                  Morrisons Slow Cooked Lamb Shoulder W…                                  360g                 ,               £4              ,https://groceries.morrisons.com/productImages/475/475168011_0_150x150.jpg?identifier=6f10588ee153b091c27a6fb29132e591
                  Spoilt Pig Dry Cured Smoked Streaky Bacon                                  184g                 ,               £2.75              ,https://groceries.morrisons.com/productImages/394/394085011_0_150x150.jpg?identifier=5caf8179963603f9e94d17a90c775d99
                  Morrisons Salmon Skewers With Chilli Lime & Soy                                  200g                 ,               £4              ,https://groceries.morrisons.com/productImages/508/508395011_0_150x150.jpg?identifier=373513c62bf62824b4a527f46fde5ab2
                  Morrisons Salt And Pepper Breaded Chicken Goujons                                  270g                 ,               £1.25              ,https://groceries.morrisons.com/productImages/272/272545011_0_150x150.jpg?identifier=ba4fd143a9f9d3667fafcb13faaf38c4
                  Heck 97% Sausage                                  400g                 ,               £2.50              ,https://groceries.morrisons.com/productImages/339/339145011_0_150x150.jpg?identifier=27ece6c042edc595b6db4705549178d7
                  Morrisons Frozen Cooked Jumbo King Prawns                                  225g                 ,               £4              ,https://groceries.morrisons.com/productImages/355/355936011_0_150x150.jpg?identifier=97774f66c7631a28ce63cc1c5cffb011
                  Heck Chicken Italia Sausage                                  340g                 ,               £2.50              ,https://groceries.morrisons.com/productImages/339/339146011_0_150x150.jpg?identifier=6f17ba700e930b7061cab6d85ba282eb
                  Morrisons Market St British Bavette Steak                                  350g                 ,               £3.50              ,https://groceries.morrisons.com/productImages/366/366650011_0_150x150.jpg?identifier=30a890e91db4a33a3b82c08e59eb4763
                  Morrisons Yellow Fin Tuna Steaks                                  225g                 ,               £4              ,https://groceries.morrisons.com/productImages/508/508397011_0_150x150.jpg?identifier=33b2807ad5f2eff923172f3edf1236f0
                  The Black Farmer Premium Pork Sausages                                  400g                 ,               £2.50              ,https://groceries.morrisons.com/productImages/211/211438011_0_150x150.jpg?identifier=e9eef01aa097386ed8abd6ffe3b0bef3
                  Morrisons Raw Tiger Prawns With Coriander…                                  165g                 ,               £4              ,https://groceries.morrisons.com/productImages/456/456008011_0_150x150.jpg?identifier=cc872212c384898bc84f6e7dbb4c4804
                  Morrisons 2 Breaded Chicken Fillets                                  340g                 ,               £3              ,https://groceries.morrisons.com/productImages/300/300214011_0_150x150.jpg?identifier=4977f62e4da433d01e5f1cb76a7f513e
                  Gressingham Duck Crown                                  900g                 ,               £5              ,https://groceries.morrisons.com/productImages/297/297944011_0_150x150.jpg?identifier=8548f9805e72258d5d2430dd522b0554
                  Morrisons Southern Fried Breade…                                  340g                 ,               £3              ,https://groceries.morrisons.com/productImages/512/512736011_0_150x150.jpg?identifier=5f0773deef2b12d0ddf39830b7911a57
                  Morrisons The Best Cheese & Black Pepper Sausages                                  400g                 ,               £2.50              ,https://groceries.morrisons.com/productImages/533/533936011_0_150x150.jpg?identifier=0e29b64883a077922fd7c3988c15cf0c
                  Morrisons Frozen Cooked Shell On Cold Prawns                                  450g                 ,               £4              ,https://groceries.morrisons.com/productImages/355/355923011_0_150x150.jpg?identifier=a2826354290164db3d1a8cef2fa5f2dd
                  Richmond Chicken Sausages                                  400g                 ,               £2              ,https://groceries.morrisons.com/productImages/403/403273011_0_150x150.jpg?identifier=b4b600724c8ffa173185dff7ac94fcdd
                  Heck Simply Chicken Chipolatas 10Pk                                  340g                 ,               £2.50              ,https://groceries.morrisons.com/productImages/397/397081011_0_150x150.jpg?identifier=5d1fe8206f61b20d938db6da34c5e5ce
